run,selection_metric,best_val_score,auprc,auroc,f1,best_f1,precision,recall,path
eigat_single_frame,auprc,0.5095390677452087,0.31825941801071167,0.8574057764775812,0.3271375464684015,0.4658384919166565,0.56957928802589,0.22946544980443284,outputs\models\imptc_set01_set02_set03_set04_set05\eigat_single_frame.metrics.json
mrgcn_single_frame,auprc,0.02294817566871643,0.014739598147571087,0.5647105143198338,0.0,0.03377354145050049,0.0,0.0,outputs\models\imptc_set01_set02_set03_set04_set05\mrgcn_single_frame.metrics.json
social_stgcn_h5_t1,auprc,0.5977773070335388,0.45728182792663574,0.8800837340753911,0.514488468361916,0.5480969548225403,0.4707792207792208,0.5671447196870926,outputs\models\imptc_set01_set02_set03_set04_set05\social_stgcn_h5_t1.metrics.json
